ayo	'aIoU
ayohh	'aIoU
ayt	'aIt
ayumm	'aI;Vm
ayy	'aIi
ayye	'aI;aI
az	'az
azaria	az'e@r-i@
azn	'az@n
azns	'az@nz
azz	'az
azzdd	'azd
b	b'i:
ba	b'A:
baahha	b'A:h@
baaybee	b'A:r-aIb,i:
babanas	bab'A:n@z
babay	b'abeI
babayd	b'abeId
babaysitting	b'abeIs,ItIN
babbling	b'ablIN
babbyy	b'abI;i
babe	b'eIb
babee	b'abi:
babehh	b'eIb
babes	b'eIbz
babey	b'eIbi
babeyy	b'eIbji
babeyyboy	b'eIbjIb,OI
babeyygirl	b'eIbjIg,3:l
babi	b'abaI
babies	b'eIbIz
babiesr	b'abIs3
babiquot	b'abIkw,0t
baby	b'eIbi
babyboo	b'eIbIb,u:
babydoll	b'eIbId,0l
babydont	b'eIbId,0nt
babygirl	b'eIbIg,3:l
babygirltwistawayy	b'eIbIg,3:ltwIst,aweIi
babygirrl	b'eIbIg,3:r-@l
babylets	b'abaIl@ts
babylike	b'eIbIl,aIk
babyquot	b'eIbIkw,0t
babyr	b'eIb@
babyreally	b'eIbIr,i@li
babys	b'eIbIz
babyuh	b'eIbI;,V
babyy	b'eIbI;i
bac	b'ak
bachata	bA:k'A:t@
bachelorsanother	b'A:kI2l,o@sa#n,0T3
bacilos	bas'IloUz
back	b'ak
backd	b'akd
background	b'akgraUnd
backif	b'akIf
backing	b'akIN
backk	b'akk
backlolmaybe	b'akl@lm,eIbi:
backpack	b'akpak
backr	b'ak3
backround	b'akraUnd
backrouund	b'akraU,Vnd
backs	b'aks
backseat	b'aksi:t
backside	b'aksaId
backstreet	b'akstri:t
backstreets	b'akstri:ts
backstroke	b'akstroUk
backu	b'aku:
backward	b'akw3d
backwards	b'akw3dz
backyard	b'akjA@d
backyardud	b'akjA@d,Vd
bacon	b'eIk@n
baconcrunchy	b'eIk@Nkr,VntSi
bad	b'ad
badass	b'adas
badd	b'ad
badhurtful	b'adh3:tf@L
badly	b'adli
badr	b'ad3
badromance	b'adroUm@ns
badromancepokerfacespeechless	b'adroUm,aansI2p,oUk3f,eIsspi:tSl@s
bae	b'i:
bag	b'ag
bagg	b'ag
bagged	b'agd
baggy	b'agi
bagpurse	b'agp3:s
bags	b'agz
baha	b'A:h@
bahah	b'ah@
bahaha	bah'A:h@
bahahaah	b'aha#h,A:
bahahaha	b,aha#h'A:h@
bahahahah	b'aha#h,ah@
bahahahaha	b,aha#ha#h'A:h@
bahahahahahahahaha	b,aha#h,aha#h,aha#ha#h'A:h@
bahahahahatook	b'aha#h,aha#h,atUk
bahahahahhaha	b,aha#h,ahA:h'A:h@
bahahahhahaa	b'aha#h,A:ha#h,A:
bahahhaha	b,ahA:h'A:h@
bahamas	bah'A:m@z
bahasa	bah'A:s@
bahhaahah	b'A:hA:h@
bail	b'eIl
bailed	b'eIld
bailey	b'eIlI
baileys	b'eIlIz
baite	b'eIt
bak	b'ak
bake	b'eIk
baked	b'eIkt
baker	b'eIk3
bakewhat	b'eIkw0t
bakground	b'akgraUnd
balack	b'alak
balance	b'al@ns
balanced	b'al@nst
balcony	b'alk@nI
bald	b'O:ld
baldis	b'O:ldIz
ball	b'O:l
ballerinas	b,al3r'i:n@z
ballfuck	b'O:lfVk
ballin	b'alIn
balloon	b@l'u:n
balloons	b@l'u:nz
balls	b'O:lz
bam	b'am
bambam	bamb'am
ban	b'an
banah	b'an@
banana	ba#n'A:n@
bananas	ba#n'A:n@z
band	b'and
banda	b'and@
bandage	b'andI2dZ
bandana	band'A:n@
bandd	b'and
bandicoot	b'andIk,u:t
bandor	b'ando@
bandr	b'and3
bands	b'andz
bandz	b'andz
bang	b'aN
bangin	b'aNgIn
banging	b'aNI2N
bangkok	b'aNk0k
bangs	b'aNz
bank	b'aNk
banks	b'aNks
banned	b'and
baptised	b'aptaIzd
baptist	b'aptIst
baptized	b'aptaIzd
baqgrndd	b'akg@nd
bar	b'A@
barack	ba#r'A:k
barapos	bar'A:poUz
barbaros	bA@b'aroUz
barbecue	b'A@bI2kj,u:
barbeque	b'A@b@kj,u:
barber	b'A@b3
barbie	b'A@bi
barbies	b'A@bIz
bare	b'e@
baree	b'ari:
barefoot	b'e@fUt
barefooted	b'e@fUtI2d
barely	b'e@li
barge	b'A@dZ
barnamint	b'A@na#m,Int
barney	b'A@nI
baron	b'ar@n
barr	b'A@
barreled	b'ar@Ld
barriers	b'ari@3z
barrymore	b'arIm,o@
bars	b'A@z
bartender	b'A@tEnd3
bartenderquotwell	b'A@tI2nd3kw,0twEl
base	b'eIs
baseball	b'eIsbO:l
based	b'eIst
bash	b'aS
bashed	b'aSt
bashing	b'aSIN
basic	b'eIsIk
basically	b'eIsIkli
basicc	b'eIsIk
basics	b'eIsIks
basis	b'eIsIs
basket	b'aaskI2t
basketball	b'aaskI2tb,O:l
basketyer	b'aaskI2tI;3
bastard	b'aast3d
basterds	b'aast3:dz
bat	b'at
batch	b'atS
bath	b'aaT
bathe	b'eID
bathing	b'eIDIN
bathrobe	b'aaTroUb
bathroom	b'aaTru:m
bathroomr	b'aaTru:m3
bathrooms	b'aaTru:mz
batman	b'atman
batmobile	b'atm@b,i:l
batt	b'at
batter	b'at3
battery	b'at@ri
battle	b'at@L
battree	b'atri:
baught	b'O:t
bavarian	bav'e@ri@n
baxk	b'aksk
baybee	b'eIbi:
bayside	b'eIsaId
bazillion	baz'Ili@n
bbaby	b'i:b'eIbi
bbeing	b'i:b'i:;I2N
bbl	b,i:b,i:;'El
bboo	b'i:b'u:
bbq	b,i:b,i:kj'u:
bby	b,i:b,i:w'aI
bbyboi	b'i:b'aIbOI
bbyboy	b'i:b'aIbOI
bbyface	b'i:b'aIfeIs
bbygirll	b'i:b'aIg3:l@L
bbygrl	b'i:b'aIg@l
bbygrlr	b'i:b'aIg@l3
bbygurl	b'i:b'aIg3:l
bbyy	b'i:b'aIi
bc	b,i:s'i:
bck	b,i:s,i:k'eI
bckrund	b,i:s'i:kr'Vnd
bcquot	b,i:s'i:kw'0t
bd	b,i:d'i:
bday	b'i:d'eI
be	b'i:
bea	b'i:
beach	b'i:tS
beaches	b'i:tSI2z
beachh	b'i:tS
beachr	b'i:k3
beads	b'i:dz
beadslolz	b'i:dsl0lz
beak	b'i:k
beam	b'i:m
beamer	b'i:m3
beanie	b'i:ni
beans	b'i:nz
bear	b'e@
beard	b'i@3d
bears	b'e@z
beast	b'i:st
beasts	b'i:sts
beastt	b'i:st
beat	b'i:t
beaten	b'i:t@n
beater	b'i:t3
beatiful	b'i:tIf@L
beating	b'i:tIN
beatles	b'i:t@Lz
beatrhythme	b'i:trIDm
beats	b'i:ts
beau	b'oU
beaumont	b'oUm0nt
beaut	bj'u:t
beauticianhairdressernail	bju:t'IS@nh,e@drI2s3n,eIl
beautidul	bj'u:tId,Vl
beautiful	bj'u:tIf@L
beautifulamp	bj'u:tIfj,Ulamp
beautifull	bj'u:tIf,Ul
beautifulyou	bj'u:tIf,u:lI;,u:
beautifulyouaposve	bj'u:tIf,u:lIw,A:p0sv
beauty	bj'u:ti
beaver	b'i:v3
bebe	bI2b'E
bec	b'Ek
became	bIk'eIm
because	bIk'Vz
becausee	bI2k'O:si:
becausewell	bI2k'O:sju:,El
becham	b'EtS@m
beckahm	b'EkA:r-@m
becky	b'Eki
become	bIk'Vm
becomes	bIk'Vmz
becoming	bI2k'VmI2N
becuase	bI2kw'as
becuz	bI2k'Vz
bed	b'Ed
bedding	b'EdIN
bedefinitely	bI2d'EfIn@tli
bedhead	b'EdhEd
bedquot	b'Edkw0t
bedrock	b'Edr0k
bedrockhey	b'Edr0khI
bedrockinapos	b,Edr@kIn'A:poUz
bedrockr	b'Edr0k3
bedroom	b'Edru:m
bedrooms	b'Edru:mz
beds	b'Edz
bedsheets	b'EdSi:ts
bedside	b'EdsaId
bedtime	b'EdtaIm
bedtimeish	b'EdtaImI2S
bedwetter	b'EdwI2t3
bedwhat	b'Edw0t
bee	b'i:
beeaauitful	b'i:;A:j,u:Itf@L
beef	b'i:f
beefhotlinks	b'i:fh@tl,INks
beefy	b'i:fI
been	b'i:n
beens	b'i:nz
beephello	bi:f'EloU
beer	b'i@3
beerquot	b'i@3kw0t
beers	b'i@3z
bees	b'i:z
beetedubs	b'i:tI2d,Vbz
beetle	b'i:t@L
beetles	b'i:t@Lz
before	bIf'o@
beforee	bI2f'o@ri:
beforetell	bI2f'o@rI2t,El
befriend	bI2fr'End
befriending	bI2fr'EndIN
beg	b'Eg
beggar	b'Eg3
begged	b'Egd
begger	b'Eg3
beggin	b'EgIn
begging	b'EgIN
begin	bIg'In
beginin	bI2dZ'InIn
beginner	bIg'In3
beginning	bIg'InIN
begins	bIg'Inz
begun	bIg'Vn
behaving	bI2h'eIvIN
behavior	bI2h'eIvj3
behavioral	bI2h'eIvj3r-@L
behaviour	bI2h'eIvj3
behh	b'E
behind	bIh'aInd
bei	b'eI
beibee	b'eIbi:
beibie	b'eIbi
beileve	b'eIlEv
bein	b'eIn
being	b'i:;IN
beingg	b'i:;I2Ng
beings	b'i:;I2Nz
beinq	b'eInk
bejust	bI2dZ'Vst
bekeep	bI2k'i:p
belair	bI2l'e@
belcony	b'Elk@nI
beleive	bI2l'i:v
belgium	b'EldZ@m
belieber	bI2l'Ib3
belief	bI2l'i:f
beliefs	bI2l'i:fs
beliefsspiritual	bI2l'i:fspIr,ItSu:@L
believe	bI2l'i:v
believed	bI2l'i:vd
believei	bI2l'i:veI
believing	bI2l'i:vIN
believingquot	bI2l'i:vINkw,0t
belive	bI2l'Iv
bell	b'El
bella	b'El@
belle	b'El
bellow	b'EloU
bells	b'Elz
belly	b'ElI2
bellylike	b'ElI2l,aIk
bellys	b'ElI2z
bellyy	b'ElI2;i
belongd	bI2l'0Nd
belonged	bI2l'0Nd
belongings	bI2l'0NI2Nz
beloved	bI2l'Vvd
below	bIl'oU
belt	b'Elt
ben	b'En
bench	b'EntS
bend	b'End
bender	b'End3
beneath	bI2n'i:T
benefit	b'EnIf,It
benefits	b'EnIf,Its
bengals	b,Eng'O:lz
bent	b'Ent
bentley	b'EntlI
beowulf	b'eI@w,Ulf
bequot	bI2kw'0t
ber	b'3:
berdoo	b'3:du:
beret	bI2r'eI
berid	bI2r'Id
berlesque	b3:l'Esk
bernardino	b,3:n3d'i:noU
bernardinor	b'3:n3d,In3
bernardo	b'3:n3d,oU
berries	b'ErIz
bertha	b'3:T@
besar	bI2s'A@
beseest	bI2s'i:st
beside	bIs'aId
besides	bIs'aIdz
best	b'Est
bestbuy	bI2stb'aI
bestd	b'I2std
bestdid	bI2std'Id
bestes	bI2st'Es
bestess	bI2st'Es
bestest	b'Est@st
bestestt	bI2st'Est
bestfiend	bI2stf'i:nd
bestfriend	bI2stfr'End
bestfriendbabiee	bI2stfr'Endba#b,I
bestfriendd	bI2stfr'End
bestfriends	bI2stfr'Endz
bestie	bI2st'aI
bestiee	bI2st'I
besties	bI2st'aIz
bestt	b'I2st
besttestt	bI2st'Est
besttfriend	bI2stfr'End
bet	b'Et
beta	b'i:t@
betah	b'i:t@
betch	b'EtS
betches	b'EtSI2z
betchh	b'EtS
betchu	b'EtSu:
bethany	b'ET@ni
betoven	bI2t'oUv@n
bets	b'Ets
betsy	b'Etsi
betta	b'Et@
bettaa	b'EtA:
bettah	b'Et@
better	b'Et3
betterlove	b'Et3l,Vv
betterquot	b'Et3kw,0t
betterr	b'Ete@
betterwhat	b'Et3w,0t
betty	b'Eti
between	bItw'i:n
betweeners	bI2tw'i:n3z
betwen	bI2tw'En
beucter	bj'u:kt3
beverage	b'Ev@rI2dZ
beware	bI2w'e@
bewbeez	bI2wb'i:z
bewbs	b'I2wbz
bewear	bI2w'e@
bewhy	bI2w'aI
beyonce	b'eI0ns
beyond	bIj'0nd
beyondfear	b'eI@ndf,i@3
bezel	b'Ez@L
bf	b,i:;'Ef
bff	b,i:;,Ef'Ef
bffls	b,i:;,Ef'Ef,El'Es
bffs	b,i:;,Ef,Ef'Es
bfg	b,i:;,EfdZ'i:
bfgf	b,i:;,EfdZ,i:;'Ef
bfgfcrush	b,i:;,EfdZ,i:;'Efkr'VS
bfgfspouse	b,i:;,EfdZ,i:;'Efsp'aUs
bfgfus	b,i:;,EfdZ'i:f'Vs
bfhusband	b,i:;'Efh'Vsb@nd
bfs	b,i:;,Ef'Es
bfsgfs	b,i:;,Ef'EsdZ,i:;,Ef'Es
bfy	b,i:;,Efw'aI
bg	b,i:dZ'i:
bh	b,i:;'eItS
bhaa	b'A:
bham	b'am
bhee	b'i:
bhgpvuojknmav	bgpvj'u:@dZknm,av
bhhah	bh'A:
bhut	b'Vt
bi	b'aI
bianca	b'aI@nk@
biased	b'aI@st
biatch	b'aI@tS
biatchh	b'aI@tS
biazillion	b,aI@z'Ili@n
bible	b'aIb@L
bicth	b'IkT
bicthes	b'IkDz
bicycle	b'aIsIk@L
bid	b'Id
bieber	b'i:b3
bieberduh	b'i:b3d,V
biebers	b'i:b3z
biebersbabyxx	b'i:b3sb,eIbIks
biebs	b'i:bz
bieen	b'i:;@n
bieleve	b'i:lEv
bien	baI'En
bienn	baI'En
big	b'Ig
biger	b'IdZ3
bigest	b'IdZ@st
bigg	b'Ig
bigger	b'Ig3
biggest	b'Ig@st
bight	b'aIt
bigot	b'Ig@t
bigtime	b'IgtaIm
bih	b'I
bihh	b'I
biitch	b'I;ItS
biits	b'I;Its
bike	b'aIk
biker	b'aIk3
bikes	b'aIks
bikin	b'IkIn
bikini	bIk'i:ni
bill	b'Il
billard	b'IlA@d
billboards	b'Ilbo@dz
billings	b'IlINz
billion	b'Ili@n
billionair	b'Ili@n,e@
billionaire	b,Ili@n'e@
billions	b'Ili@nz
bills	b'Ilz
billy	b'Ili
bimbo	b'ImboU
binge	b'IndZ
bingo	b'INgoU
bio	b'aIoU
biological	b,aI@l'0dZIk@L
biolol	b,aIoUl'0l
biome	b'aIoUm
bioshock	b,aIoUS'0k
biproduct	baIpr'0dVkt
biracial	baIr'eIS@L
bird	b'3:d
birds	b'3:dz
birmingham	b'3:mIN@m
birth	b'3:T
birthday	b'3:TdeI
birthdeyy	b'3:TdaIi
birthstone	b'3:TstoUn
biscuit	b'IskIt
biscuits	b'IskIts
bisexual	baIs'EkSu:@L
bisexuality	baIs'EkSu:'alI2ti
bisexy	baIs'Eksi
bishop	b'IS@p
bisnatch	b'IsnatS
bit	b'It
bitch	b'ItS
bitchass	b'ItSas
bitchassness	b'ItSasn@s
bitchbitch	b'ItSbItS
bitches	b'ItSI2z
bitchess	b'ItSEs
bitchez	b'ItSEz
bitchh	b'ItS
bitchhoe	b'ItShoU
bitchhr	b'ItSh3
bitchill	b'ItSIl
bitching	b'ItSIN
bitchu	b'ItSu:
bitchwhore	b'ItSwo@
bitchx	b'ItSks
bitchy	b'ItSi
bite	b'aIt
biteable	baIt'i:b@L
biteget	baIt'EgI2t
bithc	b'ITk
bitin	b'ItIn
biting	b'aItIN
bitminus	b'ItmIn@s
bits	b'Its
bitslow	b'ItsloU
bitten	b'It@n
bitty	b'Iti
bj	b,i:dZ'eI
bjs	b,i:dZ,eI'Es
bk	b,i:k'eI
bky	b,i:k,eIw'aI
bkyy	b'i:k'aIi
black	bl'ak
blackberry	bl'akb3ri
blackk	bl'akk
blackmailing	bl'akmeIlIN
blackquot	bl'akkw0t
blackr	bl'ak3
blacks	bl'aks
blackughh	bl'akVg
blade	bl'eId
blag	bl'ag
blah	bl'A:
blahh	bl'A:
blahhits	bl'A:hIts
blahquot	bl'A:kw0t
blake	bl'eIk
blame	bl'eIm
blamed	bl'eImd
blaming	bl'eImIN
blank	bl'aNk
blanket	bl'aNkI2t
blankets	bl'aNkI2ts
blanking	bl'aNkIN
blanksd	bl'aNksd
blash	bl'aS
blast	bl'aast
blastt	bl'aast
blatantly	bl'eIt@ntli
blazing	bl'eIzIN
bleach	bl'i:tS
bleached	bl'i:tSt
bleaching	bl'i:tSIN
bleed	bl'i:d
bleh	bl'Eh
bless	bl'Es
blessed	bl'Est
blessing	bl'EsIN
blew	bl'u:
blind	bl'aInd
blinddate	bl'aIndeIt
blinded	bl'aIndI2d
blinds	bl'aIndz
blink	bl'INk
blipp	bl'Ip
bliss	bl'Is
blissfully	bl'Isf@lI
bllionaire	b'i:li@n'e@
block	bl'0k
blocked	bl'0kt
blockedd	bl'0kEd
blog	bl'0g
blogging	bl'0gIN
bloke	bl'oUk
blond	bl'0nd
blonde	bl'0nd
blondes	bl'0ndz
blondprincess	bl'0ndprIns,Es
blonds	bl'0ndz
blood	bl'Vd
bloodied	bl'VdId
bloody	bl'Vdi
bloopers	bl'u:p3z
blouse	bl'aUz
blousee	bl'aUsi:
blow	bl'oU
blowing	bl'oUIN
blowjob	bl'oUdZ0b
blows	bl'oUz
blowws	bl'oUw@z
blu	bl'u:
blud	bl'Vd
bludgen	bl'VdZ@n
blue	bl'u:
blueberry	bl'u:bEri
bluee	bl'u:i:
blues	bl'u:z
blunt	bl'Vnt
blur	bl'3:
blurred	bl'3:d
blush	bl'VS
blushing	bl'VSIN
bmb	b,i:;,Emb'i:
bmth	b,i:;,Emt,i:;'eItS
bn	b,i:;'En
boa	b'oU@
board	b'o@d
boards	b'o@dz
boardwalk	b'o@dwO:k
boat	b'oUt
boats	b'oUts
bob	b'0b
bobbies	b'0bIz
bobby	b'0bi
bobbyr	b'0b@
bobotaa	b'0b@t,A:
bobotee	b'0boUt,i:
boca	b'oUk@
bod	b'0d
bodacious	b@d'eIS@s
bodies	b'0dIz
bodtf	b'0dtf
body	b'0di
bodybrain	b'0dIbr,eIn
bodyfat	b'0dIf,at
bodys	b'0dIz
boheme	b'oUhi:m
boi	b'OI
boii	b'OIi
boiis	b'OIiz
boiled	b'OIld
boiling	b'OIlIN
bold	b'oUld
bollard	b'0lA@d
bollocks	b'0l@ks
bolo	b'oUloU
bolognaise	b,0l@gn'eIz
bomb	b'0m
bomband	b'0mband
bombard	b@mb'A@d
bombarded	b@mb'A@dI2d
bombarding	b@mb'A@dIN
bombb	b'0mb
bombest	b'0m@st
bombs	b'0mz
bomm	b'0m
bondi	b'0ndI
bonds	b'0ndz
bone	b'oUn
boned	b'oUnd
boner	b'oUn3
bones	b'oUnz
bonkers	b'0Nk3z
bonti	b'0nti
bontia	b'0nS@
bonus	b'oUn@s
boo	b'u:
boobies	b'u:bIz
boobs	b'u:bz
boobsr	b'u:bs3
boobyhead	b'u:bIh,Ed
boogahh	b'u:gA:
boogeyman	b'u:gIm@n
boogle	b'u:g@L
book	b'Uk
bookand	b'Ukand
booking	b'UkIN
bookjunkie	b'UkdZVNki
booklockerbuddie	b'Ukl0k3b,Vdi
bookmarked	b'UkmA@kt
bookr	b'Uk3
books	b'Uks
boom	b'u:m
boomarang	b'u:m@r,ang
boomarangs	b'u:m@r,angz
boomerang	b'u:m3r,aN
boop	b'u:p
booqersz	b'u:k3sz
boost	b'u:st
bootay	b'u:teI
boothang	b'u:TaN
boothanh	b'u:Tan
booths	b'u:Ts
bootie	b'u:ti
bootleger	b'u:t@LdZ3
bootlegger	b'u:tlEg3
boots	b'u:ts
booty	b'u:ti
booy	b'u:i
booze	b'u:z
bop	b'0p
bord	b'o@d
border	b'o@d3
bore	b'o@
bored	b'o@d
boredaposa	b,o@da#p'oUs@
boredd	b'o@d
boredlol	b'o@dl0l
boredom	b'o@d@m
boredr	b'o@d3
boreed	b'o@ri:d
boricuamoricuamorena	b'o@rIkj,u:a#m,o@rIkj,u:a#m,o@n@
boriing	b'O@ri;IN
boring	b'o@r-IN
borinq	b'o@rInk
born	b'O@n
bornwas	b'o@nw@z
borreedd	b'0ri:d
borrow	b'0roU
borrows	b'0roUz
borthers	b'O@D3z
boss	b'0s
boston	b'0st@n
bot	b'0t
both	b'oUT
bother	b'0D3
botherd	b'0D3:d
bothered	b'0D3d
bothering	b'0D3r-IN
bothers	b'0D3z
bothersome	b'0D3s,Vm
bottle	b'0t@L
bottlenose	b'0t@Ln,oUz
bottles	b'0t@Lz
bottom	b'0t@m
bottomfloating	b'0t@mfl,oUtIN
bottoms	b'0t@mz
bought	b'O:t
bounce	b'aUns
bounces	b'aUnsI2z
bouncin	b'aUnsIn
bound	b'aUnd
boundaries	b'aUnd@riz
bourban	b'3:b@n
bout	b'aUt
boutcha	b'aUtS@
boutt	b'aUt
bouttah	b'aUt@
bowels	b'aU@Lz
bowies	b'oUIz
bowl	b'oUl
bowled	b'oUld
bowling	b'oUlIN
bowt	b'oUt
box	b'0ks
boxer	b'0ks3
boxers	b'0ks3z
boxes	b'0ksI2z
boxr	b'0ks3
boy	b'OI
boyd	b'OId
boyfirend	b'OIfaI@nd
boyfran	b'OIfr@n
boyfreind	b'OIfreInd
boyfriend	b'OIfrEnd
boyfriendgirlfriend	b'OIfrI2ndZ,3:lfrEnd
boyfriendhusband	b'OIfrI2ndh,Vsb@nd
boyfriendr	b'OIfrEnd3
boyfriends	b'OIfrEndz
boygirl	b'OIg3:l
boyr	b'OIr
boys	b'OIz
boysr	b'OIs3
boyus	b'OI@s
boyy	b'OIi
boyz	b'OIz
bp	b,i:p'i:
bq	b,i:kj'u:
bqq	b,i:kj,u:kj'u:
br	b,i:;'A@
bra	br'A:
braahh	br'A:
bracelet	br'eIsl@t
bracelets	br'eIsl@ts
braces	br'eIsI2z
brack	br'ak
braclet	br'akl@t
brad	br'ad
bradie	br'eIdi
brah	br'A:
brahahahhaa	br'aha#h,A:hA:
brahh	br'A:
braid	br'eId
braille	br'eIl
brain	br'eIn
brains	br'eInz
brainthat	br'eInTat
braised	br'eIzd
brake	br'eIk
braken	br'eIk@n
brakes	br'eIks
braless	br'A:l@s
branches	br'aantSI2z
brand	br'and
brandon	br'and@n
brands	br'andz
brandspecificquot	br'andspI2s,IfIkw,0t
brap	br'ap
brapquot	br'apkw0t
brathing	br'eIDIN
braughts	br'O:ts
brauts	br'aUts
brava	br'A:v@
brave	br'eIv
bravest	br'eIv@st
bravissimo	brav'IsIm,oU
braza	br'A:z@
brazialin	br'eIzI;,alIn
brazil	bra#z'Il
brazilian	braz'Ili@n
brb	b,i:;,A@b'i:
bread	br'Ed
break	br'eIk
breakdown	br'eIkdaUn
breaker	br'eIk3
breakfast	br'Ekf@st
breaking	br'eIkIN
breakkie	br'eIki
breaks	br'eIks
breast	br'Est
breastfed	br'Estft
breastfeed	br'Estfi:d
breasts	br'Ests
breath	br'ET
breathe	br'i:D
breathing	br'i:DIN
breaths	br'ETs
bred	br'Ed
breed	br'i:d
brekkie	br'Eki
brenna	br'En@
bresnan	br'Esn@n
bretter	br'Et3
brewerton	br'u:3t@n
bri	br'aI
brian	br'aI@n
brianaa	br'aI@n,A:
brianna	brI;'an@
brick	br'Ik
bricks	br'Iks
bride	br'aId
bridge	br'IdZ
bridges	br'IdZI2z
brief	br'i:f
briefly	br'i:fli
briefs	br'i:fs
bright	br'aIt
brighten	br'aIt@n
brightest	br'aIt@st
brighton	br'aIt@n
brillianti	br'IlI;@nt,i
brilliantquot	br'IlI;@ntkw,0t
brim	br'Im
bring	br'IN
bringaposem	br'INga#p,oUs@m
bringing	br'INI2N
brings	br'INz
bringummall	br'INg@m,O:l
briqhten	br'Ikht@n
bristol	br'Ist@L
bristolian	brIst'oUli@n
bristoll	br'IstoUl
brit	br'It
britain	br'It@n
britains	br'It@nz
british	br'ItI2S
britney	br'ItnI
brittany	br'It@ni
brittanys	br'It@nIz
brittanyss	br'Ita#n,Is
britteny	br'It@ni
brittni	br'Itni
brizillian	brIz'Ili@n
brizzle	br'Iz@L
bro	br'oU
broadcast	br'O:dkaast
broadwalk	br'O:dwO:k
broccoli	br'0k@l,i
brock	br'0k
brohug	br'oUhVg
broke	br'oUk
broken	br'oUk@n
brokenn	br'oUk@n
brokke	br'0k
brollie	br'0li
broma	br'oUm@
bronkos	br'0nkoUz
bronte	br'0nt
bronthers	br'0nT3z
brook	br'Uk
brooke	br'Uk
brookes	br'Uks
brookkee	br'Uki:
brooklyn	br'UklIn
bros	br'oUz
broskeez	br'0ski:z
broski	br'0skI
brothaa	br'0TA:
brothel	br'0T@L
brother	br'VD3
brotherampamphis	br,VD3ra#mp'amfIz
brotherfor	br'VD3f3
brothers	br'VD3z
brothersr	br'VD3s3
brots	br'0ts
brought	br'O:t
brougth	br'aUgT
bround	br'aUnd
brow	br'aU
broward	br'aU3d
brown	br'aUn
brownie	br'aUni
brownies	br'aUnIz
browns	br'aUnz
browny	br'aUni
browsing	br'aUzIN
bruce	br'u:s
brughts	br'Vts
bruh	br'V
bruhh	br'u:
bruise	br'u:z
bruises	br'u:zI2z
brulee	br'u:li:
brunette	brVn'Et
brunettes	brVn'Ets
bruno	br'u:noU
brup	br'Vp
brush	br'VS
brushing	br'VSIN
brussel	br'Vs@L
brutally	br'u:t@Li
bruvv	br'Vv
bryan	br'aI@n
bryanbiebz	br'aI;a#nb,Ibz
bryans	br'aI@nz
bryant	br'aI@nt
bryce	br'aIs
bryun	br'aI;Vn
bs	b,i:;'Es
bt	b,i:t'i:
btc	b,i:t,i:s'i:
bttrr	b,i:t,i:t'i:;,A@r-'A@
btu	b,i:t,i:j'u:
btw	b,i:t,i:d'Vb@Lj,u:
btwand	b'i:tw'and
bu	b'u:
bubba	b'Vb@
bubble	b'Vb@L
bubbly	b'Vbli
buck	b'Vk
bucket	b'VkI2t
bucks	b'Vks
bud	b'Vd
buddeh	b'VdeI
buddie	b'Vdi
buddiee	b'VdI
buddies	b'VdIz
buddy	b'Vdi
buddyso	bVd'IsoU
budge	b'VdZ
budget	b'VdZI2t
budweiser	b'VdwaIz3
budwieser	b'VdwIs3
buen	bj'u:@n
buff	b'Vf
buffalo	b'Vf@l,oU
buffet	b'VfI2t
buffy	b'VfI
bug	b'Vg
buggar	b'Vg3
bugger	b'Vg3
bugging	b'VgIN
bugs	b'Vgz
buh	b'V
buhbye	b'u:baI
buhh	b'u:
buhht	b'u:ht
build	b'Ild
building	b'IldIN
buildings	b'IldINz
built	b'Ilt
buisness	bj'u:izn@s
buissness	bj'u:Isn@s
bulimic	bjUl'ImIk
bull	b'Ul
bullcrap	b'Ulkrap
bullet	b'UlIt
bulletproofcupidhotmailcouk	b'UlI2tpr,u:fkju:p,Idh@tm,eIlkaUk
bullets	b'UlIts
bulletz	b'UlEts
bullheaded	b'UlhEdI2d
bullied	b'UlId
bullmastiff	b'Ulmaast,If
bullock	b'Ul@k
bullr	b'Ul3
bulls	b'Ulz
bullshit	b'UlSIt
bullshiting	b'UlSItIN
bullshitter	b'UlSIt3
bullshiz	b'UlSIz
bullsiht	b'UlsIht
bully	b'UlI
bullying	b'UlI;IN
bullys	b'UlIz
bulmic	b'VlmIk
bulshiit	b'VlSI;,It
bum	b'Vm
bumcrack	b'Vmkrak
bumhole	b'VmhoUl
bumm	b'Vm
bummchumms	b'VmtSVmz
bummed	b'Vmd
bumped	b'Vmpt
bumper	b'Vmp3
bumpers	b'Vmp3z
bun	b'Vn
bunch	b'VntS
buncha	b'VntS@
bungalow	b'VNga#l,oU
bunge	b'VndZ
bungee	b'VndZi:
bungie	b'VndZi
bunk	b'VNk
bunker	b'VNk3
bunn	b'Vn
bunnies	b'VnIz
bunny	b'Vni
buns	b'Vnz
bunz	b'Vnts
bureau	bj'U@roU
burger	b'3:g3
burgerr	b'3:ge@
burgers	b'3:g3z
burie	b'Eri
buried	b'ErId
burito	bEr'i:toU
burn	b'3:n
burner	b'3:n3
burning	b'3:nIN
burns	b'3:nz
burnt	b'3:nt
burping	b'3:pIN
burried	b'VrId
burrito	bVr'i:toU
burst	b'3:st
bursts	b'3:sts
bury	b'Eri
bus	b'Vs
busco	b'VskoU
buscuit	b'Vskju:,It
buses	b'VsI2z
bush	b'US
bushes	b'USI2z
business	b'Izn@s
